item_id,name,rarity,purpose,category,effect_summary,value_sell_price,is_consumable,is_material,is_legacy,is_reserved_future,normal_drop_allowed,boss_drop_allowed,raid_drop_allowed,source_summary,progression_tier,estimated_rate_per_100,risk,notes
arm_set_iron_snow_arms,鉄雪篭手,SSR,playable_gear,equipment,鉄雪篭手,40,NO,NO,NO,NO,YES,YES,NO,統治軍制御室(valhalla_fortress),valhalla,0.07/100 trace,high,
arm_set_iron_snow_body,鉄雪鎧,SSR,playable_gear,equipment,鉄雪鎧,40,NO,NO,NO,NO,YES,YES,NO,機械兵格納庫(valhalla_fortress),valhalla,0.06/100 trace,high,
arm_set_iron_snow_feet,鉄雪靴,SSR,playable_gear,equipment,鉄雪靴,40,NO,NO,NO,NO,YES,YES,NO,空塞昇降路(valhalla_fortress),valhalla,0.06/100 trace,high,
arm_set_iron_snow_head,鉄雪兜,SSR,playable_gear,equipment,鉄雪兜,40,NO,NO,NO,NO,YES,YES,NO,ヴァルハラ外郭(valhalla_fortress),valhalla,0.06/100 trace,high,
arm_set_iron_snow_legs,鉄雪腿当て,SSR,playable_gear,equipment,鉄雪腿当て,40,NO,NO,NO,NO,YES,YES,NO,落星孔(starfall_observatory),valhalla,0.08/100 trace,high,
arm_set_mist_arms,霧守り篭手,R,playable_gear,equipment,霧守り篭手,40,NO,NO,NO,NO,YES,NO,NO,霧深き獣道(mist_forest),early,0.81/100 trace,low,
arm_set_mist_body,霧守り鎧,R,playable_gear,equipment,霧守り鎧,40,NO,NO,NO,NO,YES,NO,NO,迷い茸の群生地(mist_forest),mid,0.82/100 trace,low,
arm_set_mist_feet,霧守り靴,R,playable_gear,equipment,霧守り靴,40,NO,NO,NO,NO,YES,NO,NO,眠れる獣の巣(mist_forest),mid,0.83/100 trace,low,
arm_set_mist_head,霧守り兜,R,playable_gear,equipment,霧守り兜,40,NO,NO,NO,NO,YES,NO,NO,古樹の根元(mist_forest),mid,0.81/100 trace,low,
arm_set_mist_legs,霧守り腿当て,R,playable_gear,equipment,霧守り腿当て,40,NO,NO,NO,NO,YES,NO,NO,毒蔦の小径(mist_forest),early,0.81/100 trace,low,
arm_set_moon_arms,月下篭手,SR,playable_gear,equipment,月下篭手,40,NO,NO,NO,NO,YES,NO,NO,月下図書館・禁書区画(moon_library),mid,0.30/100 trace,low,
arm_set_moon_body,月下鎧,SR,playable_gear,equipment,月下鎧,40,NO,NO,NO,NO,YES,NO,NO,影写しの閲覧室(moon_library),mid,0.29/100 trace,low,
arm_set_moon_feet,月下靴,SR,playable_gear,equipment,月下靴,40,NO,NO,NO,NO,YES,NO,NO,無答の書庫(moon_library),late_mid,0.30/100 trace,low,
arm_set_moon_head,月下兜,SR,playable_gear,equipment,月下兜,40,NO,NO,NO,NO,YES,NO,NO,記録端末室(moon_library),mid,0.30/100 trace,low,
arm_set_moon_legs,月下腿当て,SR,playable_gear,equipment,月下腿当て,40,NO,NO,NO,NO,YES,NO,NO,紙魚の回廊(moon_library),mid,0.30/100 trace,low,
arm_set_old_king_arms,旧王篭手,UR,playable_gear,equipment,旧王篭手,40,NO,NO,NO,NO,YES,YES,YES,—,raid,0/none,high,
arm_set_old_king_body,旧王鎧,UR,playable_gear,equipment,旧王鎧,40,NO,NO,NO,NO,YES,YES,YES,—,raid,0/none,high,
arm_set_old_king_feet,旧王靴,UR,playable_gear,equipment,旧王靴,40,NO,NO,NO,NO,YES,YES,YES,—,raid,0/none,high,
arm_set_old_king_head,旧王兜,UR,playable_gear,equipment,旧王兜,40,NO,NO,NO,NO,YES,YES,YES,—,raid,0/none,high,
arm_set_old_king_legs,旧王腿当て,UR,playable_gear,equipment,旧王腿当て,40,NO,NO,NO,NO,YES,YES,YES,—,raid,0/none,high,
arm_set_old_road_arms,古道篭手,R,playable_gear,equipment,古道篭手,40,NO,NO,NO,NO,YES,NO,NO,盗賊の抜け道(old_road_village),early,0.81/100 trace,low,
arm_set_old_road_body,古道鎧,R,playable_gear,equipment,古道鎧,40,NO,NO,NO,NO,YES,NO,NO,石積みの橋(old_road_village),early,0.81/100 trace,low,
arm_set_old_road_feet,古道靴,R,playable_gear,equipment,古道靴,40,NO,NO,NO,NO,YES,NO,NO,朽ちた旅籠(old_road_village),early,0.81/100 trace,low,
arm_set_old_road_head,古道兜,R,playable_gear,equipment,古道兜,40,NO,NO,NO,NO,YES,NO,NO,朽ちた旅籠(old_road_village),early,0.81/100 trace,low,
arm_set_old_road_legs,古道腿当て,R,playable_gear,equipment,古道腿当て,40,NO,NO,NO,NO,YES,NO,NO,旅人の墓標(old_road_village),early,0.82/100 trace,low,
arm_set_rain_arms,雨音篭手,R,playable_gear,equipment,雨音篭手,40,NO,NO,NO,NO,YES,NO,NO,雨漏りの礼拝堂(rain_ruins),early,0.81/100 trace,low,
arm_set_rain_body,雨音鎧,R,playable_gear,equipment,雨音鎧,40,NO,NO,NO,NO,YES,NO,NO,水没した家屋(rain_ruins),early,0.81/100 trace,low,
arm_set_rain_feet,雨音靴,R,playable_gear,equipment,雨音靴,40,NO,NO,NO,NO,YES,NO,NO,泥濘の畑(rain_ruins),early,0.82/100 trace,low,
arm_set_rain_head,雨音兜,R,playable_gear,equipment,雨音兜,40,NO,NO,NO,NO,YES,NO,NO,雨音の路地(rain_ruins),early,0.81/100 trace,low,
arm_set_rain_legs,雨音腿当て,R,playable_gear,equipment,雨音腿当て,40,NO,NO,NO,NO,YES,NO,NO,泥濘の畑(rain_ruins),early,0.82/100 trace,low,
arm_set_red_ash_arms,赤灰篭手,SR,playable_gear,equipment,赤灰篭手,40,NO,NO,NO,NO,YES,NO,NO,砦地下倉庫(red_ash_fort),late_mid,0.31/100 trace,low,
arm_set_red_ash_body,赤灰鎧,SR,playable_gear,equipment,赤灰鎧,40,NO,NO,NO,NO,YES,NO,NO,焼けた兵舎(red_ash_fort),late_mid,0.31/100 trace,low,
arm_set_red_ash_feet,赤灰靴,SR,playable_gear,equipment,赤灰靴,40,NO,NO,NO,NO,YES,NO,NO,赤灰の見張り台(red_ash_fort),late_mid,0.33/100 trace,low,
arm_set_red_ash_head,赤灰兜,SR,playable_gear,equipment,赤灰兜,40,NO,NO,NO,NO,YES,NO,NO,赤灰の外壁(red_ash_fort),late_mid,0.31/100 trace,low,
arm_set_red_ash_legs,赤灰腿当て,SR,playable_gear,equipment,赤灰腿当て,40,NO,NO,NO,NO,YES,NO,NO,炎の訓練場(red_ash_fort),late_mid,0.32/100 trace,low,
arm_set_silence_arms,沈黙篭手,SR,playable_gear,equipment,沈黙篭手,40,NO,NO,NO,NO,YES,NO,NO,祈りの間(silent_monastery),late_mid,0.31/100 trace,low,
arm_set_silence_body,沈黙鎧,SR,playable_gear,equipment,沈黙鎧,40,NO,NO,NO,NO,YES,NO,NO,懺悔室(silent_monastery),late_mid,0.31/100 trace,low,
arm_set_silence_feet,沈黙靴,SR,playable_gear,equipment,沈黙靴,40,NO,NO,NO,NO,YES,NO,NO,聖水工房跡(silent_monastery),late_mid,0.32/100 trace,low,
arm_set_silence_head,沈黙兜,SR,playable_gear,equipment,沈黙兜,40,NO,NO,NO,NO,YES,NO,NO,祈りの間(silent_monastery),late_mid,0.31/100 trace,low,
arm_set_silence_legs,沈黙腿当て,SR,playable_gear,equipment,沈黙腿当て,40,NO,NO,NO,NO,YES,NO,NO,無言の巡礼路(silent_monastery),late,0.33/100 trace,low,
arm_set_silver_arms,白銀篭手,R,playable_gear,equipment,白銀篭手,40,NO,NO,NO,NO,YES,NO,NO,白銀坑道(silver_mine),early,0.81/100 trace,low,
arm_set_silver_body,白銀鎧,R,playable_gear,equipment,白銀鎧,40,NO,NO,NO,NO,YES,NO,NO,崩落した作業場(silver_mine),early,0.81/100 trace,low,
arm_set_silver_feet,白銀靴,R,playable_gear,equipment,白銀靴,40,NO,NO,NO,NO,YES,NO,NO,黒鉄鉱脈(silver_mine),mid,0.83/100 trace,low,
arm_set_silver_head,白銀兜,R,playable_gear,equipment,白銀兜,40,NO,NO,NO,NO,YES,NO,NO,結晶の縦穴(silver_mine),early,0.81/100 trace,low,
arm_set_silver_legs,白銀腿当て,R,playable_gear,equipment,白銀腿当て,40,NO,NO,NO,NO,YES,NO,NO,旧採掘路(silver_mine),early,0.81/100 trace,low,
arm_set_starfall_arms,星落ち篭手,SSR,playable_gear,equipment,星落ち篭手,40,NO,NO,NO,NO,YES,YES,NO,砕けた望遠塔(starfall_observatory),late,0.06/100 trace,high,
arm_set_starfall_body,星落ち鎧,SSR,playable_gear,equipment,星落ち鎧,40,NO,NO,NO,NO,YES,YES,NO,天文記録室(starfall_observatory),valhalla,0.07/100 trace,high,
arm_set_starfall_feet,星落ち靴,SSR,playable_gear,equipment,星落ち靴,40,NO,NO,NO,NO,YES,YES,NO,星落ちの観測台(starfall_observatory),late,0.06/100 trace,high,
arm_set_starfall_head,星落ち兜,SSR,playable_gear,equipment,星落ち兜,40,NO,NO,NO,NO,YES,YES,NO,星屑の実験室(starfall_observatory),late,0.06/100 trace,high,
arm_set_starfall_legs,星落ち腿当て,SSR,playable_gear,equipment,星落ち腿当て,40,NO,NO,NO,NO,YES,YES,NO,落星孔(starfall_observatory),valhalla,0.08/100 trace,high,
arm_set_starfield_arms,星原篭手,R,playable_gear,equipment,星原篭手,40,NO,NO,NO,NO,YES,NO,NO,夜歩きの丘(start_starfield),early,0.81/100 trace,low,
arm_set_starfield_body,星原鎧,R,playable_gear,equipment,星原鎧,40,NO,NO,NO,NO,YES,NO,NO,—,early,0/none,low,
arm_set_starfield_feet,星原靴,R,playable_gear,equipment,星原靴,40,NO,NO,NO,NO,YES,NO,NO,古い訓練場(start_starfield),early,0.81/100 trace,low,
arm_set_starfield_head,星原兜,R,playable_gear,equipment,星原兜,40,NO,NO,NO,NO,YES,NO,NO,星屑の草道(start_starfield),early,0.81/100 trace,low,
arm_set_starfield_legs,星原腿当て,R,playable_gear,equipment,星原腿当て,40,NO,NO,NO,NO,YES,NO,NO,壊れた祠(start_starfield),early,0.82/100 trace,low,
arm_set_twilight_arms,薄明篭手,R,playable_gear,equipment,薄明篭手,40,NO,NO,NO,NO,YES,NO,NO,灯台下の岩場(twilight_port),early,0.81/100 trace,low,
arm_set_twilight_body,薄明鎧,R,playable_gear,equipment,薄明鎧,40,NO,NO,NO,NO,YES,NO,NO,海霧の倉庫街(twilight_port),early,0.82/100 trace,low,
arm_set_twilight_feet,薄明靴,R,playable_gear,equipment,薄明靴,40,NO,NO,NO,NO,YES,NO,NO,薄明の海岸(twilight_port),early,0.81/100 trace,low,
arm_set_twilight_head,薄明兜,R,playable_gear,equipment,薄明兜,40,NO,NO,NO,NO,YES,NO,NO,潮騒の洞窟(twilight_port),early,0.81/100 trace,low,
arm_set_twilight_legs,薄明腿当て,R,playable_gear,equipment,薄明腿当て,40,NO,NO,NO,NO,YES,NO,NO,沈没船の甲板(twilight_port),early,0.81/100 trace,low,
arm_set_valhalla_arms,ヴァルハラ篭手,UR,playable_gear,equipment,ヴァルハラ篭手,40,NO,NO,NO,NO,YES,YES,YES,統治軍制御室(valhalla_fortress),raid,0.04/100 trace,high,
arm_set_valhalla_body,ヴァルハラ鎧,UR,playable_gear,equipment,ヴァルハラ鎧,40,NO,NO,NO,NO,YES,YES,YES,機械兵格納庫(valhalla_fortress),raid,0.02/100 trace,high,
arm_set_valhalla_feet,ヴァルハラ靴,UR,playable_gear,equipment,ヴァルハラ靴,40,NO,NO,NO,NO,YES,YES,YES,空塞昇降路(valhalla_fortress),raid,0.03/100 trace,high,
arm_set_valhalla_head,ヴァルハラ兜,UR,playable_gear,equipment,ヴァルハラ兜,40,NO,NO,NO,NO,YES,YES,YES,ヴァルハラ外郭(valhalla_fortress),raid,0.02/100 trace,high,
arm_set_valhalla_legs,ヴァルハラ腿当て,UR,playable_gear,equipment,ヴァルハラ腿当て,40,NO,NO,NO,NO,YES,YES,YES,実験区画(valhalla_fortress),raid,0.06/100 trace,high,
boss_ash_knight,灰冠騎士の紋章,SSR,src_material,boss_material,灰冠騎士の紋章。,350,NO,YES,NO,NO,NO,YES,NO,破れた玉座前(ash_capital),late,4.7/100 low,high,
boss_black_iron,黒鉄処刑人の鎖,SSR,src_material,boss_material,黒鉄の鎖。,350,NO,YES,NO,NO,NO,YES,NO,—,late,0/none,high,
boss_dragon_fang,竜鳴きの牙,SSR,src_material,boss_material,竜の牙。,300,NO,YES,NO,NO,NO,YES,NO,竜鳴きの崖(dragonbone_valley),late,3.4/100 low,high,
boss_furnace_core,炉熱の番人核,UR,src_material,boss_material,炉熱の核。,500,NO,YES,NO,NO,NO,YES,NO,鉄熱の補給路(deep_furnace_outpost),late,5.9/100 low,high,
boss_silent_page,無答の守護者の頁,UR,src_material,boss_material,禁書の頁。ヴァルハラ最上位触媒。Src最終強化・UR覚醒・特性保護等に使う（多くは将来Phase）。,500,NO,YES,NO,NO,NO,YES,NO,—,valhalla,0/excluded,high,無答の守護者/ヴァルハラボス専用。通常探索から除外
boss_tree_heart,古樹の心材,SR,src_material,boss_material,古樹の心材。,200,NO,YES,NO,NO,NO,YES,NO,—,late,0/none,high,
cons_antidote,解毒薬,N,consumable,consumable,毒を治す。,25,YES,NO,NO,NO,YES,NO,NO,—,early,0/none,low,
cons_grind_powder,研磨粉,R,consumable,consumable,体勢を崩しやすくする。,40,YES,NO,NO,NO,YES,NO,NO,—,early,0/none,low,
cons_heal_large,大回復薬,SR,consumable,consumable,HPを250回復。,200,YES,NO,NO,NO,YES,NO,NO,—,early,0/none,low,
cons_heal_medium,中回復薬,R,consumable,consumable,HPを150回復。,100,YES,NO,NO,NO,YES,NO,NO,—,early,0/none,low,
cons_heal_potion,回復薬,N,consumable,consumable,HPを80回復。,30,YES,NO,NO,NO,YES,NO,NO,—,early,0/none,low,
cons_lamp_bottle,灯火の小瓶,R,consumable,consumable,戦闘中HP30%で1回復活。,40,YES,NO,NO,NO,YES,NO,NO,灯台下の岩場(twilight_port); 沈没船の甲板(twilight_port); 潮騒の洞窟(twilight_port); 海霧の倉庫街(twilight_port),early,2.2/100 low,low,
cons_pilgrim_charm,巡礼者の護符,SR,consumable,consumable,敗北時の所持金ロスト防止。,250,YES,NO,NO,NO,YES,NO,NO,聖水工房跡(silent_monastery),late_mid,3.1/100 low,low,
cons_rescue_signal,救難信号片,R,consumable,consumable,救難要請を即時投稿。,75,YES,NO,NO,NO,YES,NO,NO,海霧の倉庫街(twilight_port),early,3.4/100 low,low,
cons_smoke_bomb,煙玉,R,consumable,consumable,煙で距離を取る。,50,YES,NO,NO,NO,YES,NO,NO,—,early,0/none,low,
cons_status_cure,万能解毒薬,R,consumable,consumable,状態異常を治す。,80,YES,NO,NO,NO,YES,NO,NO,—,early,0/none,low,
dism_ash_steel,灰冠鋼片,SR,set_material,dismantle_material,灰冠の鋼片。,45,NO,YES,NO,NO,YES,NO,NO,—,early,0/none,low,
dism_deep_core,深層炉心片,SSR,set_material,dismantle_material,深層炉心片。,80,NO,YES,NO,NO,YES,NO,NO,—,early,0/none,low,
dism_mist_thread,霧守りの縫糸,R,set_material,dismantle_material,霧守りの糸。,25,NO,YES,NO,NO,YES,NO,NO,—,early,0/none,low,
dism_moon_fiber,月下繊維,SR,set_material,dismantle_material,月下の繊維。,40,NO,YES,NO,NO,YES,NO,NO,—,early,0/none,low,
dism_old_king,旧王の装甲片,UR,set_material,dismantle_material,旧王の装甲片。,120,NO,YES,NO,NO,YES,NO,NO,—,early,0/none,low,
dism_old_leather,古びた革紐,N,set_material,dismantle_material,分解で得る革。,4,NO,YES,NO,NO,YES,NO,NO,—,early,0/none,low,
dism_rust_iron,錆びた鉄片,N,set_material,dismantle_material,分解で得る鉄片。,4,NO,YES,NO,NO,YES,NO,NO,—,early,0/none,low,
dism_silver_plate,白銀装甲片,R,set_material,dismantle_material,白銀シリーズの装甲片。,25,NO,YES,NO,NO,YES,NO,NO,—,early,0/none,low,
dism_starfield_cloth,星原布片,R,set_material,dismantle_material,星原シリーズの布片。,20,NO,YES,NO,NO,YES,NO,NO,—,early,0/none,low,
dism_torn_cloth,破れた布片,N,set_material,dismantle_material,分解で得る布。,3,NO,YES,NO,NO,YES,NO,NO,—,early,0/none,low,
mat_affix_reroll_assist,特性再抽選の触媒,UR,reserved_future,boss_material,防具/アクセ特性再抽選の補助素材。,0,NO,YES,NO,YES,NO,YES,NO,—,valhalla,0/excluded,medium,ヴァルハラボス低確率
mat_affix_slot_protect,特性保護の触媒,UR,reserved_future,boss_material,特性再抽選時に1枠を保護する触媒。無答の守護者の頁と徽章で交換（将来）。,0,NO,YES,NO,YES,NO,NO,NO,—,valhalla,0/excluded,high,交換所のみ・ドロップなし
mat_ash_crest,灰冠の紋章片,SSR,enhance_material,area_material,灰冠の紋章。,100,NO,YES,NO,NO,YES,NO,NO,灰冠の王都地下(ash_capital); 旧統治軍詰所(ash_capital); 破れた玉座前(ash_capital); 王都地下牢(ash_capital); 灰の大通り(ash_capital); 赤灰の見張り台(red_ash_fort),late_mid,7.9/100 mid,low,
mat_ash_fist_bone,灰拳の骨片,SSR,enhance_material,material,灰拳の骨片。カイ伝承に使う。,0,NO,YES,NO,NO,YES,YES,NO,—,early,0/none,medium,再戦ドロップ
mat_ash_mirror_fragment,灰鏡の欠片,SR,enhance_material,material,灰鏡の欠片。カイ伝承に使う。,0,NO,YES,NO,NO,YES,YES,NO,—,early,0/none,medium,再戦ドロップ
mat_ash_star_magic_core,灰星の魔核,SR,enhance_material,material,灰星の魔核。カイ伝承に使う。,0,NO,YES,NO,NO,YES,YES,NO,—,early,0/none,medium,再戦ドロップ
mat_beast_fang,獣の牙,N,enhance_material,common_material,獣の牙。,8,NO,YES,NO,NO,YES,NO,NO,盗賊の抜け道(old_road_village),early,8.5/100 mid,low,
mat_beast_hide,獣皮,N,enhance_material,common_material,獣の皮。,8,NO,YES,NO,NO,YES,NO,NO,旅人の墓標(old_road_village),early,6.9/100 mid,low,
mat_black_fox_clawmark,黒狐の爪痕,SSR,enhance_material,material,黒狐の爪痕。カイ伝承に使う。,0,NO,YES,NO,NO,YES,YES,NO,—,early,0/none,medium,再戦ドロップ
mat_black_iron_powder_case,黒鉄の火薬筒,SR,enhance_material,material,黒鉄の火薬筒。カイ伝承に使う。,0,NO,YES,NO,NO,YES,YES,NO,—,early,0/none,medium,再戦ドロップ
mat_black_lantern_cinder,黒灯の残滓,SSR,legacy,boss_material,黒灯の残影が残す煤核。カイの伝承に使う。,0,NO,YES,YES,NO,NO,NO,NO,—,none,0/excluded,low,reserved_future→legacy
mat_cloth_scrap,布切れ,N,enhance_material,common_material,古い布切れ。,3,NO,YES,NO,NO,YES,NO,NO,星屑の草道(start_starfield); 朽ちた旅籠(old_road_village); 水没した家屋(rain_ruins),early,8.5/100 mid,low,
mat_cracked_bone,ひび割れた骨,N,enhance_material,common_material,古い骨。,6,NO,YES,NO,NO,YES,NO,NO,旅人の墓標(old_road_village),early,6.9/100 mid,low,
mat_deep_furnace_gear,深層炉の歯車,SR,enhance_material,material,深層炉の歯車。カイ伝承に使う。,0,NO,YES,NO,NO,YES,YES,NO,—,early,0/none,medium,再戦ドロップ
mat_deep_soot,深層炉の煤,UR,enhance_material,area_material,深層炉の煤。,150,NO,YES,NO,NO,YES,NO,NO,深層炉入口(deep_furnace_outpost); 炉心監視塔(deep_furnace_outpost),late_mid,4.6/100 low,low,
mat_dragonbone,竜骨片,SSR,enhance_material,area_material,竜骨の破片。,100,NO,YES,NO,NO,YES,NO,NO,竜骨の峡谷(dragonbone_valley); 大骨市場跡(dragonbone_valley); 竜鳴きの崖(dragonbone_valley); 骨喰い鳥の巣(dragonbone_valley); 古竜の裂け目(dragonbone_valley),late_mid,8.3/100 mid,low,
mat_dry_herb,乾いた薬草,N,enhance_material,common_material,乾燥した薬草。,5,NO,YES,NO,NO,YES,NO,NO,壊れた祠(start_starfield); 毒蔦の小径(mist_forest); 朽ちた井戸(rain_ruins); 雨漏りの礼拝堂(rain_ruins),early,7.7/100 mid,low,
mat_echo_bowstring,残響の弦糸,SR,enhance_material,material,弓の残響。カイ伝承に使う。,0,NO,YES,NO,NO,YES,YES,NO,—,early,0/none,medium,再戦ドロップ
mat_forgotten_sand,忘却の黒砂,SR,enhance_material,area_material,忘却の砂。,55,NO,YES,NO,NO,YES,NO,NO,忘却の地下路(forgotten_market); 黒市の裏通り(forgotten_market); 呪具置き場(forgotten_market); 契約失敗体の檻(forgotten_market); 仮面商人の隠し倉庫(forgotten_market); 黒灯りの路地(black_lantern_lane); 煤煙の抜け道(black_lantern_lane),mid,6.8/100 mid,low,
mat_hourglass_shard,砂時計の欠片,SR,enhance_material,area_material,時計の欠片。,60,NO,YES,NO,NO,YES,NO,NO,砂時計の廃路(hourglass_city); 時紋の市場跡(hourglass_city); 喪失者の広場(hourglass_city); 逆さ時計塔(hourglass_city); 記憶の保管庫(hourglass_city),mid,8.2/100 mid,low,
